"rel_month","month_str","coef_log","se","ci_low_log","ci_high_log","pct_effect"
-3,"2022-03",0.014621984629232284,0.010074578290068517,-0.006170923012649059,0.03541489227111363,1.4729408792694798
-2,"2022-04/ref",0,0,0,0,0
-1,"2022-05",-0.01445382031878741,0.00942787164938577,-0.03391199105516834,0.005004350417593518,-1.4349865309574827
0,"2022-06",-0.07535996467783554,0.016101177912781362,-0.10859116261254192,-0.042128766743129153,-7.259040845784737
1,"2022-07",-0.05931429492021009,0.029943748535903963,-0.12111515445321358,0.002486564612793389,-5.75894722356729
2,"2022-08",-0.07922008021240186,0.020011956559744724,-0.12052272857142152,-0.03791743185338219,-7.616341608131904
3,"2022-09",-0.10863961193386636,0.01672949369257267,-0.1431675899027322,-0.0741116339650005,-10.29463533202878
4,"2022-10",-0.10343452820318477,0.019658534773007337,-0.14400774984490913,-0.06286130656146041,-9.826494097620586
5,"2022-11",-0.12278357102941224,0.012992892934397227,-0.14959958406810162,-0.09596755799072287,-11.554493645335084
6,"2022-12",-0.09891893976882052,0.027774239051452633,-0.15624215179742654,-0.04159572774021449,-9.41838692873601
7,"2023-01",-0.05133812424850215,0.02772288097474711,-0.10855533841646767,0.005879089919463364,-5.004258741330303
8,"2023-02",-0.059626549875420265,0.0300443005127406,-0.12163493848878573,0.002381838737945202,-5.788369865359044
9,"2023-03",-0.10362072482614705,0.02269867861784851,-0.1504684949763814,-0.0567729546759127,-9.84328253687642
10,"2023-04",-0.1228093694514939,0.02801338935686613,-0.18062616345145574,-0.06499257545153206,-11.556775370406669
11,"2023-05",-0.13616250893819615,0.029857910942007633,-0.19778620838462338,-0.07453880949176891,-12.72992007158049
12,"2023-06",-0.12790261864834832,0.03154595213080452,-0.19301026387630232,-0.06279497342039432,-12.006093537202334
13,"2023-07",-0.10499716597645878,0.04282051258547269,-0.1933743603097906,-0.016619971643126938,-9.967292586922705
14,"2023-08",-0.11416858567297873,0.0384930302943202,-0.1936142955301302,-0.03472287581582727,-10.7892453346778
15,"2023-09",-0.13205943171894333,0.032536127827863075,-0.1992106991438155,-0.06490816429407116,-12.371108582470058
16,"2023-10",-0.12954565589864203,0.03123876936805634,-0.19401930706440312,-0.06507200473288094,-12.150552095425414
17,"2023-11",-0.13941132863657033,0.029272054734818788,-0.19982588029965964,-0.078996776973481,-13.012984764280933
18,"2023-12",-0.10494931661654239,0.03968250283111513,-0.18684997713148094,-0.023048656101603823,-9.962984476432112
19,"2024-01",-0.08803139935134743,0.029003086365451236,-0.14789082758377564,-0.028171971118919233,-8.42678771227644
20,"2024-02",-0.08354578167655859,0.03306737834516525,-0.15179349627995486,-0.015298067073162308,-8.015102652094907
21,"2024-03",-0.12005537404883189,0.03142923772447707,-0.18492213258144538,-0.0551886155162184,-11.312867429866479
22,"2024-04",-0.13437321678776354,0.02453968115708982,-0.18502062943069159,-0.08372580414483549,-12.573628618760202
23,"2024-05",-0.1360096306654408,0.029920067764915452,-0.19776161548926285,-0.07425764584161876,-12.716577352617886
24,"2024-06",-0.12685363799832575,0.03044043638879241,-0.1896796108764838,-0.06402766512016769,-11.913741202565365
25,"2024-07",-0.11895163132122079,0.03200769384511763,-0.1850122646091893,-0.0528909980332523,-11.214925610917437
26,"2024-08",-0.10774527500707312,0.03965495823863243,-0.189589086277206,-0.02590146373694023,-10.214372626273715
27,"2024-09",-0.13099736122611486,0.03223871440172023,-0.19753479750856195,-0.06445992494366777,-12.277991082654772
28,"2024-10",-0.13517381464816747,0.02746101988930732,-0.19185057409854744,-0.07849705519778749,-12.643593973837053
29,"2024-11",-0.14393177816236566,0.026843995343613036,-0.199335061540398,-0.0885284947843333,-13.40531774723759
30,"2024-12",-0.11753311630034269,0.0337523768565989,-0.18719459834620422,-0.04787163425448117,-11.088893281023571
